##不要修改本文件
文件保存时间: 4/15/2008 2:50:40 AM

<line>
ID:l200804150129406448x1x0y2yu20080415012940129728922
CreateTime:20080415012940
LineTag:
Configure:WaveLength=632.8nm;ReTard=0.383;
X:1,0,
Y:2,u20080415012940129728922,name=相对值;rate=7.31250573329009E-02;changetype=1;
<data>:        磁感应强度(mT)     克尔转角(相对值)                   克尔转角(度)
               -999.4        -6.70646198421579E-02                     -0.917122287328228
               -799.75       -6.67357124370886E-02                     -0.912624411811059
               -599.8        -6.68363978730177E-02                     -0.914001305581831
               -399.725      -6.64143443705933E-02                     -0.908229638279022
               -198.65       -6.67869372107861E-02                     -0.913324920987609
               0.325         -6.63942996813944E-02                     -0.907955523086091
               198.45        -8.50077563833932E-02                     -1.16249832114861
               399.2         -0.109930086055577                        -1.50331623748508
               599.9         -0.110909429635205                        -1.51670895969751
               800.6         -0.111193249266125                        -1.52059025075247
               999.325       -0.11126301014149                         -1.52154424488129
               999.425       -0.110854317271774                        -1.51595528694236
               799.825       -0.11101765522778                         -1.51818896664072
               599.675       -0.109660912322807                        -1.49963523205975
               399.8         -0.109617522422304                        -1.49904186636425
               199.9         -0.109382989831757                        -1.49583458558935
               0.225         -0.108419882883903                        -1.48266390261169
               -198.75       -9.10609386624539E-02                     -1.24527681732816
               -399.3        -6.69301662001628E-02                     -0.915283606486134
               -599.7        -6.64867242723558E-02                     -0.909219448125364
               -800.55       -0.066944935581641                        -0.915485580775343
               -1000         -6.66881794403727E-02                     -0.911974388433989
</line>

<line>
ID:l200804150129407352x1x0y3yu20080415012940057400273
CreateTime:20080415012940
LineTag:
Configure:WaveLength=632.8nm;ReTard=0.383;
X:1,0,
Y:3,u20080415012940057400273,name=相对值;rate=7.31250573329009E-02;changetype=1;
<data>:        磁感应强度(mT)     克尔椭率(相对值)                   克尔椭率()
               -999.4        -0.299754719573647                        -4.09920662638277
               -799.75       -0.299361881856438                        -4.09383449087222
               -599.8        -0.2992800018438                          -4.09271476508157
               -399.725      -0.299576982038785                        -4.0967760295211
               -198.65       -0.299247047428583                        -4.09226410676528
               0.325         -0.299396252726659                        -4.09430451949817
               198.45        -0.29730844821218                         -4.06575336903584
               399.2         -0.296321432698038                        -4.05225573156187
               599.9         -0.296196393697919                        -4.05054579785817
               800.6         -0.295704428993054                        -4.04381808067327
               999.325       -0.296732610874754                        -4.05787867657843
               999.425       -0.298021682276019                        -4.07550698961205
               799.825       -0.295114076820433                        -4.03574489489875
               599.675       -0.295241220024056                        -4.03748360401243
               399.8         -0.296107629741882                        -4.04933193274441
               199.9         -0.295157933561124                        -4.03634464472856
               0.225         -0.295850792607831                        -4.04581963281032
               -198.75       -0.296370937865833                        -4.0529327247787
               -399.3        -0.297181971508416                        -4.06402377444299
               -599.7        -0.296875531438153                        -4.05983314428912
               -800.55       -0.297273054157509                        -4.06526934815486
               -1000         -0.297822589494105                        -4.07278435541283
</line>

<line>
ID:l200804150150550004x1x0y2yu20080415015055827637642
CreateTime:20080415015055
LineTag:
Configure:WaveLength=632.8nm;ReTard=0.383;
X:1,0,
Y:2,u20080415015055827637642,name=相对值;rate=7.31250573329009E-02;changetype=1;
<data>:        磁感应强度(mT)     克尔转角(相对值)                   克尔转角(度)
               -999.4        -2.56798689113174E-02                     -0.351177419176714
               -799.85       -2.55752309534695E-02                     -0.349746473866524
               -599.875      -2.53137637901772E-02                     -0.346170857342875
               -400          -2.49527470636525E-02                     -0.34123388033811
               -199.975      -2.46806288266164E-02                     -0.337512608219343
               0.475         -2.48176912222497E-02                     -0.339386964296897
               199.9         -0.043264287534032                        -0.591647912658337
               399.05        -6.78297565745458E-02                     -0.927585687430667
               599.9         -6.91582745607375E-02                     -0.945753440518964
               800.7         -6.96100222108551E-02                     -0.951931181318004
               999.3         -6.99711599819674E-02                     -0.956869813632072
               999.4         -0.069646895349154                        -0.952435428967767
               799.75        -6.98169031392084E-02                     -0.954760320000405
               599.75        -6.93140513626383E-02                     -0.947883719900375
               400.05        -6.91464267153842E-02                     -0.945591418829199
               199.875       -6.81709622974523E-02                     -0.932251744940245
               0.3           -0.068037467915722                        -0.930426182176956
               -198.8        -4.96068473972156E-02                     -0.678383706030903
               -399.3        -2.55311118587883E-02                     -0.349143136292642
               -599.875      -2.48729615816148E-02                     -0.340142797678516
               -800.8        -2.46633135840455E-02                     -0.337275818763001
               -999.2        -0.024928699602479                        -0.34090502642605
</line>

<line>
ID:l200804150150557417x1x0y3yu20080415015055413061423
CreateTime:20080415015055
LineTag:
Configure:WaveLength=632.8nm;ReTard=0.383;
X:1,0,
Y:3,u20080415015055413061423,name=相对值;rate=7.31250573329009E-02;changetype=1;
<data>:        磁感应强度(mT)     克尔椭率(相对值)                   克尔椭率()
               -999.4        -0.32230796613605                         -4.40762685037971
               -799.85       -0.322105335771657                        -4.40485583902213
               -599.875      -0.323156672737088                        -4.41923308539673
               -400          -0.322422987017007                        -4.40919978427067
               -199.975      -0.323363123337579                        -4.42205633925827
               0.475         -0.323440351888692                        -4.42311245536853
               199.9         -0.320307551443693                        -4.38027077347095
               399.05        -0.319775355035924                        -4.37299287958369
               599.9         -0.319217786541423                        -4.365368017261
               800.7         -0.319718939886179                        -4.37222139096127
               999.3         -0.319743861355319                        -4.37256219710965
               999.4         -0.319358033702339                        -4.36728592565016
               799.75        -0.320048503629267                        -4.37672824203406
               599.75        -0.32149555296381                         -4.39651693536739
               400.05        -0.320103497731716                        -4.37748029754629
               199.875       -0.320609618026008                        -4.38440159528952
               0.3           -0.320863187788252                        -4.38786921325103
